category,parent_option,option,value_type,value
baseline_hard_cost,default,baseline,per_sf,275
soft_cost,default,baseline,percent,30
acq_cost,default,baseline,per_unit,18000
bedrooms,apartment,studio,sqft,500
bedrooms,apartment,1,sqft,700
bedrooms,apartment,2,sqft,950
bedrooms,apartment,3,sqft,1150
bedrooms,apartment,4,sqft,1250
bedrooms,condo,1,sqft,900
bedrooms,condo,2,sqft,1200
bedrooms,condo,3,sqft,1350
bedrooms,townhome,2,sqft,1500
bedrooms,townhome,3,sqft,2000
bedrooms,townhome,4,sqft,2300
mf_efficiency_factor,condo,default,factor,0.8
mf_efficiency_factor,apartment,default,factor,0.8
mf_efficiency_factor,townhome,default,factor,1
energy_code,default,vt_energy_code,percent,0
energy_code,default,rbes,percent,5
energy_code,default,passive_house,percent,10
energy_source,default,natural_gas,per_sf,0
energy_source,default,all_electric,per_sf,0
energy_source,default,geothermal,per_sf,25
new_neighborhood,apartment,yes,per_unit,5000
new_neighborhood,apartment,no,per_unit,0
new_neighborhood,townhome,yes,per_unit,25000
new_neighborhood,townhome,no,per_unit,0
new_neighborhood,condo,yes,per_unit,15000
new_neighborhood,condo,no,per_unit,0
finish_quality,default,below_average,percent,-5
finish_quality,default,average,percent,0
finish_quality,default,above_average,percent,7.5
solar,default,yes,per_unit,0
solar,default,no,per_unit,0
covered_parking,default,yes,per_unit,0
covered_parking,default,no,per_unit,0
